,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00359,90,100,95,95,80,90,85,95,100,85,100,95,95,100,95,90,95,95,100,95,95,95,100,95,95,100,100,100,90,95,95,90,95,75,95,100,100,95,90,95,100,90,100,85,90,100,100,90,85,95,95,90,80,75,90,100,85,90,100,95,95,100,90
M00360,88.89,100,100,100,77.78,94.44,88.89,100,100,88.89,100,100,100,100,100,88.89,100,100,100,94.44,100,100,100,94.44,100,100,100,100,94.44,100,100,94.44,94.44,77.78,100,100,100,100,88.89,100,100,88.89,100,83.33,94.44,100,100,94.44,88.89,100,94.44,94.44,83.33,77.78,94.44,100,88.89,94.44,100,100,100,100,94.44
M00361,66.67,66.67,50,50,50,50,33.33,50,66.67,50,66.67,50,50,66.67,50,50,66.67,50,66.67,66.67,50,50,66.67,33.33,50,66.67,66.67,66.67,50,50,50,50,50,33.33,50,66.67,66.67,50,50,50,66.67,50,66.67,50,50,66.67,66.67,50,50,50,50,66.67,66.67,50,50,66.67,66.67,50,66.67,50,66.67,66.67,50
M00362,42.86,42.86,42.86,57.14,28.57,42.86,42.86,42.86,42.86,57.14,71.43,42.86,42.86,42.86,42.86,71.43,71.43,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,71.43,42.86,71.43,57.14,42.86,42.86,42.86,42.86,42.86,42.86,57.14,71.43,57.14,71.43,42.86,42.86,71.43,42.86,71.43,42.86,71.43,42.86,42.86,42.86,42.86,57.14,71.43,57.14,42.86,42.86,42.86,71.43,42.86,42.86,42.86,71.43,57.14,57.14
M00364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
M00365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
M00366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0
M00367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0
M00368,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
M00373,25,25,16.67,16.67,16.67,16.67,16.67,16.67,25,16.67,16.67,16.67,16.67,25,16.67,16.67,16.67,16.67,25,25,16.67,16.67,25,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,25,16.67,16.67,25,16.67,8.33,16.67,16.67,25,16.67,25,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,25,16.67,16.67,25,16.67,16.67,16.67,16.67
M00374,30.77,38.46,30.77,30.77,15.38,30.77,23.08,30.77,38.46,23.08,38.46,30.77,30.77,38.46,30.77,23.08,23.08,30.77,38.46,38.46,30.77,30.77,38.46,30.77,30.77,38.46,30.77,30.77,30.77,30.77,30.77,30.77,38.46,23.08,30.77,23.08,38.46,30.77,46.15,30.77,38.46,23.08,38.46,46.15,30.77,38.46,38.46,30.77,30.77,30.77,46.15,38.46,30.77,15.38,30.77,38.46,38.46,30.77,38.46,30.77,30.77,46.15,23.08
M00375,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,14.29,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,7.14,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43
M00376,23.08,38.46,23.08,30.77,23.08,30.77,30.77,30.77,38.46,7.69,38.46,30.77,30.77,38.46,30.77,38.46,30.77,30.77,38.46,38.46,30.77,30.77,38.46,23.08,30.77,30.77,38.46,30.77,30.77,30.77,30.77,30.77,38.46,23.08,30.77,30.77,38.46,23.08,38.46,30.77,38.46,23.08,38.46,38.46,30.77,38.46,38.46,30.77,15.38,30.77,38.46,38.46,30.77,23.08,23.08,38.46,38.46,30.77,38.46,30.77,30.77,38.46,23.08
M00377,14.29,28.57,28.57,28.57,28.57,28.57,14.29,28.57,28.57,28.57,42.86,28.57,28.57,28.57,28.57,42.86,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,42.86,14.29,42.86,28.57,28.57,28.57,28.57,28.57,42.86,28.57,28.57,42.86,28.57,28.57,28.57,28.57,42.86,28.57,28.57,28.57,42.86,28.57,28.57,28.57,28.57,28.57,42.86,28.57,28.57,28.57,28.57,42.86,28.57,28.57,28.57,42.86,28.57,42.86
M00419,0,0,33.33,33.33,33.33,33.33,33.33,66.67,0,66.67,0,33.33,33.33,0,33.33,33.33,0,33.33,0,0,33.33,33.33,0,0,33.33,33.33,0,0,33.33,33.33,33.33,33.33,0,33.33,33.33,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,33.33,0,33.33,0,0,0,66.67,66.67,0,0,33.33,0,33.33,0,33.33,0
M00432,33.33,33.33,0,0,33.33,0,0,0,33.33,100,100,0,0,33.33,0,100,0,0,33.33,33.33,0,0,33.33,66.67,0,100,33.33,100,0,0,0,0,33.33,100,0,33.33,100,66.67,100,0,33.33,100,33.33,100,0,100,33.33,0,100,0,100,100,0,0,0,33.33,100,0,33.33,0,100,100,100
M00434,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,0,0,50,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50
M00454,0,100,0,100,0,100,0,100,0,0,100,100,100,0,100,100,0,100,0,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,0,50,100,0,100,0,0,100,100,0,100,0,100,0,100,0,0,100,0,100,100,0,100,100,0,0
M00473,50,50,0,0,0,0,50,0,50,0,0,0,0,50,0,0,50,0,50,50,0,0,50,50,0,0,50,0,0,0,0,0,50,50,0,50,0,0,0,0,50,0,50,0,0,0,50,0,50,0,0,0,50,50,0,50,0,0,50,0,0,0,0
M00475,50,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0
M00493,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00498,100,100,100,100,50,100,0,100,100,0,50,100,100,100,100,50,100,100,100,100,100,100,100,100,100,50,100,50,100,100,100,100,100,0,100,100,50,50,50,100,100,0,100,50,100,50,100,100,0,100,0,50,50,50,100,100,50,100,100,100,50,100,0
M00501,0,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
M00502,0,50,0,0,50,0,0,0,50,0,0,0,0,50,0,0,0,0,50,50,0,0,50,0,0,0,50,0,0,0,0,0,50,0,0,50,0,0,50,0,50,0,50,50,0,0,50,0,0,0,50,0,0,0,0,50,0,0,50,0,0,50,0
