,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00506,60,60,60,60,60,60,60,60,60,80,60,60,60,60,60,60,80,60,60,60,60,60,80,40,60,60,60,60,60,80,60,60,60,80,60,60,60,60,60,60,60,60,60,60,60,60,60,60,80,60,40,60,60,60,60,60,60,60,60,60,60,60,80
M00509,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,66.67,0,33.33,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,66.67,0,0,0,66.67,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0
M00511,50,50,50,50,50,50,50,50,50,25,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,50,50,50,50,25,50,50,50,50,25,50,25,50,50,50,50,50,50,50,50,50,50,25,25
M00512,33.33,33.33,33.33,33.33,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,66.67,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
M00516,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,33.33,0,33.33,0,0,0,0,33.33,0,33.33,0,33.33,0,33.33,33.33,0,0,0,0,0,0,0,33.33,33.33,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,33.33,33.33,33.33,0
M00519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
M00524,0,50,0,50,0,50,0,50,0,0,0,50,50,0,50,0,50,50,0,0,50,50,0,0,50,0,0,0,0,50,50,50,0,0,50,0,0,0,0,50,0,0,0,0,50,0,0,50,0,50,0,0,0,0,50,0,0,50,0,50,0,0,0
M00525,66.67,66.67,11.11,22.22,66.67,22.22,66.67,22.22,55.56,22.22,66.67,22.22,22.22,66.67,22.22,66.67,66.67,22.22,66.67,66.67,22.22,22.22,66.67,55.56,22.22,66.67,44.44,66.67,22.22,22.22,22.22,33.33,55.56,22.22,22.22,55.56,66.67,66.67,66.67,33.33,66.67,55.56,66.67,66.67,22.22,66.67,66.67,22.22,22.22,22.22,66.67,66.67,44.44,55.56,22.22,66.67,55.56,22.22,66.67,22.22,66.67,66.67,22.22
M00526,83.33,83.33,16.67,16.67,83.33,16.67,83.33,16.67,83.33,16.67,83.33,16.67,16.67,83.33,16.67,83.33,83.33,16.67,83.33,83.33,16.67,16.67,83.33,66.67,16.67,100,66.67,83.33,16.67,16.67,16.67,33.33,83.33,16.67,16.67,83.33,83.33,83.33,83.33,33.33,83.33,66.67,83.33,83.33,16.67,83.33,83.33,16.67,16.67,16.67,83.33,83.33,50,66.67,16.67,83.33,83.33,16.67,83.33,16.67,83.33,83.33,16.67
M00527,85.71,85.71,14.29,28.57,85.71,28.57,85.71,28.57,71.43,28.57,85.71,28.57,28.57,85.71,28.57,85.71,85.71,28.57,85.71,85.71,28.57,28.57,85.71,71.43,28.57,85.71,57.14,85.71,28.57,28.57,28.57,42.86,71.43,28.57,28.57,71.43,85.71,85.71,85.71,42.86,85.71,71.43,85.71,85.71,28.57,85.71,85.71,28.57,28.57,28.57,85.71,85.71,57.14,71.43,28.57,85.71,71.43,28.57,85.71,28.57,85.71,85.71,28.57
